" “Akhir nya keluar juga ‘Fatwa’ Qishos dari GNPF ULAMA, FPI & PA 212 walaw agak terlambat”","“*Akhir nya keluar juga “Fatwa” Qishos dari GNPF ULAMA, FPI & PA 212 walaw agak terlambat* MARI KITA SIAPKAN PASUKAN DI TIAP-TIAP WILAYAHNYA MASING-MASING, KOORDINASI DENGAN DKM-DKM MASJID : 1. SIAPKAN GOLOK DI TIAP-TIAP MASJID. 2. SHAF PERTAMA DIBELAKANG IMAM PARA PENJAGA ULAMA. 3. LINGKARI ULAMA DENGAN ORANG2 YANG DIKENAL DARI LINGKUNGAN SEKITAR. 4. SIAPKAN HUKUM QISHOS (hutang nyawa dibayar nyawa). JIKA TERTANGKAP PELAKUNYA JANGAN HANYA DIHAKIMI HINGGA BABAK BELUR, PATAHKAN JARI2 NYA, ATAU SALAH SATU LENGAN NYA, SETELAH ITU SERAHKAN PADA BABINSA SETEMPAT, JANGAN SERAHKAN DULU KEPADA POLISI, BIAR TNI YANG MEMBONGKAR DATA & DALANGNYA. SETELAH ITU BIARKAN BABINSA YANG MENYERAHKAN KEPADA POLISI. *KANG AGUNG* *PANGLIMA PEMBEBASAN RAKYAT INDONESIA*. *PAGER GARUT / PANGLIMA *GERILYAWAN* GARUDA UTAMA*. ALLAHUAKBAR",HOAX
 “Anies dapat instruksi dari ‘KAMI’ agar lakukan PSBB total beberapa bulan”,"“Kajian intelejen crime…. Anis dapat instruksi dari “KAMI” Agar lakukan psbb total beberapa bulan agar tujuannya Rakyat DKI menjadi lumpuh secara perekonomian sehingga ketika bulan oktober 2020 besok indonesia masuk jurang Resesi ( 100% pasti resesei) maka dikarnakan tidak adanya pekerjaan,pendapatan cash dan tabungan berakibat pada kemiskinan yang menjadi jadi di DKI sehingga bisa memicu Demo dan penjarahan. Bila itu terjadi maka KAMI dan antek kadrun lainnya akan push provokasi kepada rakyat tentang JOKOWI HARUS MUNDUR KARENA GAGAL SELAMATKAN RAKYAT. Ada misi jahat sedang di jalankan oleh wan abut,kadrun,dan KAMI bin GATOT CENDANA”",HOAX
" “Bambang Triatmojo Anak Pak Soehato Buka Bicara, Cendana Membongkar Status Jokowi Adalah Anak Dari Gembong PKI”","“BAMBANG TRIATMOJO ANAK PAK SOEHATO BUKA BICARA… CENDANA MEMBONGKAR STATUS JOKOWI…. JOKOWIDODO ADALAH ANAK DARI GEMBONG PKI BAPAKNYA BERNAMA WIJIADMO KETUA OPR PKI DAN IBUNYA SEKETARIAT GERWANI…” Berdasarkan hasil penelusuran, klaim bahwa Bambang Trihadmodjo, putra ketiga mantan Presiden Soeharto buka bicara dan membongkar status Presiden Joko Widodo (Jokowi) adalah anak dari gembong PKI adalah klaim yang salah. Faktanya, tidak ada pemberitaan dari sumber resmi terkait Bambang Trihadmodjo mengeluarkan pernyataan seperti pada klaim yang beredar. Klaim pada narasi pada unggahan tersebut adalah hoaks lama yang sudah dibantah. Klaim terkait ayah Presiden Joko Widodo, Widjiatno Notomihardjo adalah seorang tokoh PKI dan ibunya adalah Ketua Gerwani misalnya, adalah klaim yang sudah muncul sejak awal kemunculan Jokowi di panggung politik nasional. Dalam berbagai kesempatan, Jokowi sudah membantah tuduhan-tuduhan tersebut. Uniknya, sejumlah orang tetap meyakini bahwa tuduhan tersebut adalah sebuah kebenaran. “Anehnya tuduhan itu tak pernah ditegaskan dalam suatu buku resmi atau tulisan ilmiah yang kadar kebenarannya bisa dipertanggungjawabkan,” tulis Historia.id dalam laporannya yang dikutip oleh Medcom pada Rabu 10 Juni 2020. “Notomihardjo dan Sudjiatmi sendiri tak pernah sekalipun disentuh oleh tentara. Itu terjadi karena mereka memang tidak memiliki keterkaitan dengan Peristiwa 30 September 1965. Jika memang benar mereka adalah tokoh PKI, itu jelas suatu keanehan. Saat itu, alih-alih anggota PKI, seorang seniman profesional yang sama sekali bukan komunis pun bisa dipenjarakan tanpa pengadilan hanya karena dia pernah mengisi sebuah acara seni yang diadakan oleh PKI.” tulis Historia.id dalam laporannya. Sementara itu, Arteria Dahlan dan keluarga besarnya sudah membantah klaim bahwa kakek Arteria Dahlan adalah pendiri PKI di Sumatra Barat. Hasril Chaniago sendiri menyatakan dia tidak menuduh Arteria keturunan PKI.",HOAX
" “Ketika di vaksin, microchip yg sangat kecil dipasang tanpa terasa, New Dajjal siap membunuh 7.5 milyard manusia”","“WASPADALAH BAGI UMAT ISLAM SEMUA DENGAN ADANYA VAKSIN YANG MAU DI PROGRAMKAN PEMERINTAH… PADA AWAL TAHUN 2021 UMAT ISLAM HARUS BERANI TEGAS MENOLAKNYA KALAU TIDAK MAU DI BUAT TARGET PEMBANTAIAN 7,5 MILIYAR NYAWA…” Di gambar tersebut terdapat foto microchip serta foto scan tangan manusia dan narasi “Ketika di vaksin, microchip yg sangat kecil dipasang tanpa terasa dg diam2. Tujuannya lain selain utk corona juga utk membunuh yg diprogram secara remote orang yg tdk disukai oleh Dajjal baru. New Dajjal siap membunuh 7.5 milyard manusia” Faktanya, vaksin diberikan dengan cara disuntikkan ke dalam tubuh, dan ukuran microchip tidak cukup kecil untuk melalui jarum suntik. Vaksin pun merupakan salah satu cara untuk memberikan kekebalan pada tubuh terhadap penyakit tertentu yang berbahaya atau mematikan, sebagaimana yang telah terjadi pada vaksin campak dan polio.",HOAX
" “Rizieq Shihab Bersumpah Najis Pulang Ke Indonesia, Kecuali Dijemput Jokowi & Megawati”","Justru, baru-baru ini Habib Rizieq secara tersirat kembali menginginkan pulang ke Indonesia. Namun Rizieq mengklaim dirinya tidak bisa pulang karena dicekal Pemerintah Arab Saudi atas permintaan Pemerintah Indonesia.",HOAX
 Akun Facebook Bupati Bekasi Meminta Sumbangan Dana Covid-19,"Sy sedang adakan penggalangan dana buat bantu masalah covid Mohon partisipasinya. PENJELASAN: Beredar sebuah akun Facebook dengan nama dan foto Bupati Bekasi, Eka Supria Atmaja. Berdasar dari sejumlah sumber, akun tersebut diketahui meminta pertemanan dari berbagai pihak dan mengirim pesan dengan modus meminta bantuan dana Covid-19. Menanggapi maraknya laporan dari masyarakat akan hal tersebut, Eka Supria pun langsung melakukan klarifikasi. Melalui media sosial Instagram miliknya, Eka membagikan video berisi klarifikasi yang menegaskan akun Facebook tersebut bukanlah dirinya. Berikut keterangan pada laman Instagram @ekasupriatmaja: Perhatian…. Perhatian….! Ini Klarifikasi saya soal Akun FB yang mengatasnamakan diri saya dan minta sumbangan atau bantuan. Jika ada yang menghubungi bapak/ibu harap diabaikan saja, karena itu bukan Saya. Terimakasih.",HOAX
 Foto Paslon dengan Kancing Baju Mirip Lubang Coblosan,"Beredar informasi di beberapa grup Whatsapp terkait foto surat suara Pilkada 2020 di Tuban. Foto surat suara yang disebar itu berisi permintaan agar para saksi waspada karena kancing baju pada foto wakil salah satu Paslon menyerupai lobang coblosan. ""Tolong diinstruksikan para saksi agar jeli saat penghitungan...itu kancing bajunya cawabup Paslon 02 bisa menipu pandangan. Mirip lubang beksa coblsan. Serius ini...!!!""",NON HOAX
 Jokowi Terobos Kebakaran Pasar Senen Pedagang Teriak Pencitraan,Hua ha ha si Kutil mau nya cari muka biar di bilang peduli sama musibah dan di cap sebagai SUPER HERO ternyata rakyat sudah pada encer otak nya Bukn nya mendapat simpati Malah jadi bahan tertawaan Huaaaaaaaaa haaaaa ngokkkkkk gimana para herder“ nya masih bilang JOKOWI UNTUK RAKYAT rakyat yang KUDISEN,HOAX
 Pencipta PR untuk Pertama Kalinya Bernama Roberto Nevilis,"“Pekerjaan rumah atau yang sering disebut PR memang menjadi momok bagi kamu yang masih bersekolah. Pekerjaan rumah memang digunakan oleh para guru kepada muridnya agar para murid mau untuk belajar di rumahnya masing-masing. Namun, untuk murid, pekerjaan rumah dirasa sangat membebani. Apalagi setelah seharian menghabiskan waktu di sekolah. Yang biasanya ingin dilakukan saat sekolah usai adalah bermain bersama teman-teman, menonton acara TV kesukaan, atau bermain gadget dan game. Roberto Nevilis, seorang pria asal Italia menciptakan sistem PR pertama kali di dunia pada tahun 1905 untuk murid-muridnya di Venicie, Italia.” Berdasarkan hasil penelusuran, klaim akun Instagram @wowfakta mengenai Roberto Nevilis, penemu sistem PR untuk pertama kali di dunia salah. Mengutip dari Through Education, Roberto Nevilis adalah tokoh fiktif atau tidak ada keberadaannya. Sistem PR yang ada hingga saat ini dipelopori oleh Johann Gottlieb Fichte, seorang filsuf Jerman yang dikenal sebagai bapak pendiri nasionalisme Jerman. Pada tahun 1814, Prusia (nama kerajaan Jerman pada saat itu) mengalami masalah dalam membangkitkan nasionalisme di warganya yang membuat Johann Gottlieb Fichte datang dengan konsep Volksschule dan Realschule. Volksschule adalah sistem pendidikan wajib sembilan tahun yang mirip dengan sekolah dasar dan menengah pertama, sedangkan Realschule adalah sistem sekolah menengah yang diperuntukkan bagi para bangsawan. Siswa yang bersekolah di Volkschule akan mendapatkan PR untuk menunjukkan kekuatan bangsa pada rakyat jelata dan membangkitkan rasa nasionalisme. Sistem ini perlahan-lahan diadopsi di seluruh Eropa, kecuali Finlandia yang menolak untuk membebankan pekerjaan rumah pada siswa. Sistem PR juga diadaptasi ke dalam sistem pendidikan Amerika setelah Horace Mann, sekretaris Dewan Pendidikan Massachusetts, pergi ke Eropa dan mengunjungi sekolah-sekolah di Prusia pada tahun 1843. Dengan demikian, unggahan akun Instagram FAKTA WOW & BERITA INDONESIA (@wowfakta) mengenai Roberto Nevilis, penemu sistem PR untuk pertama kali di dunia dapat dikategorikan sebagai Konten yang Menyesatkan karena Sistem PR yang ada hingga saat ini dipelopori oleh Johann Gottlieb Fichte, seorang filsuf Jerman dan Roberto Nevilis merupakan tokoh fiktif.",HOAX
 Sekolah SMAN 2 Rambah Hilir Riau Tidak Mewajibkan Siswi Non Muslim Memakai Jilbab,"SISWI KRISTEN WAJIB PAKAI JILBAB DI RIAU Wajib menggunakan jilbab bagi setiap siswi meski beragama lain di Provinsi Riau kembali lagi diberlakukan. Tepatnya di SMA Negeri 2 Rambah Hilir, Kabupaten Rokan Hulu – Riau. Pihak sekolah ini mewajibkan Siswi beragama Kristen memakai pakaian seragam jilbab. Seorang siswi yang bernama Febrina Chyntia Sihombing yang duduk dibangku kelas 2 SMA Negeri 2 Rambah Hilir tidak terima kalau siswi beragama Kristen wajib pakai jilbab di sekolah. Andreas Alex",NON HOAX
